Hybridization REF	TCGA-01-0630-11A-01T-0364-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-507	4.811535686
hsa-miR-508-3p	4.666090069
hsa-miR-508-5p	4.828217942
hsa-miR-509-3-5p	4.886157599
hsa-miR-509-3p	4.833673335
hsa-miR-509-5p	4.685994854
hsa-miR-510	4.819189309
hsa-miR-511	4.592974599
hsa-miR-512-3p	6.432099905
hsa-miR-512-5p	4.684576193
hsa-miR-513a-3p	4.741163781
hsa-miR-513a-5p	6.103943366
hsa-miR-513b	5.786834763
hsa-miR-513c	5.776377045
hsa-miR-514	4.814926597
hsa-miR-515-3p	4.694934577
hsa-miR-515-5p	4.703780507
hsa-miR-516a-3p	4.70712968
hsa-miR-516a-5p	5.572939767
hsa-miR-516b	5.190909619
hsa-miR-517*	4.796479061
hsa-miR-517a	4.64642733
hsa-miR-517b	4.645139523
hsa-miR-517c	4.770030748
hsa-miR-518a-3p	4.720973808
hsa-miR-518b	4.620950984
hsa-miR-518c	4.706177146
hsa-miR-518c*	6.686987601
hsa-miR-518d-3p	4.724352859
hsa-miR-518d-5p	5.030169633
hsa-miR-518e	4.620737336
hsa-miR-518e*	4.928933484
hsa-miR-518f	4.636163631
hsa-miR-518f*	4.962029414
hsa-miR-519a	4.609916427
hsa-miR-519b-3p	4.672095097
hsa-miR-519c-3p	4.656580399
hsa-miR-519d	4.750198077
hsa-miR-519e	4.825315738
hsa-miR-519e*	5.235862721
hsa-miR-520a-3p	4.706069372
hsa-miR-520a-5p	4.690627976
hsa-miR-520b	4.863569528
hsa-miR-520c-3p	4.772990092
hsa-miR-520d-3p	4.732279935
hsa-miR-520d-5p	4.994393977
hsa-miR-520e	4.821620833
hsa-miR-520f	4.732566409
hsa-miR-520g	4.733024436
hsa-miR-520h	4.692454851
hsa-miR-521	4.613078978
hsa-miR-522	4.699454994
hsa-miR-523	4.600543868
hsa-miR-524-3p	4.62963843
hsa-miR-524-5p	4.807828878
hsa-miR-525-3p	4.645657081
hsa-miR-525-5p	4.873730458
hsa-miR-526b	5.511924668
hsa-miR-526b*	4.72657296
hsa-miR-527	4.660557655
hsa-miR-532-3p	5.665482684
hsa-miR-532-5p	7.195652354
hsa-miR-539	4.811001014
hsa-miR-541	4.688289861
hsa-miR-541*	4.621590747
hsa-miR-542-3p	8.224357109
hsa-miR-542-5p	7.785401733
hsa-miR-543	4.930238066
hsa-miR-544	4.740978445
hsa-miR-545	4.927604221
hsa-miR-545*	4.663551196
hsa-miR-548a-3p	4.691747362
hsa-miR-548a-5p	4.670402391
hsa-miR-548b-3p	4.716096543
hsa-miR-548b-5p	4.708012709
